3.txt repeat0 318 False False 0,3 [empty] True
3.txt repeat1 327 False False 0,3 [empty] True
3.txt repeat2 343 False False 0,3 [empty] True
3.txt repeat3 343 False False 0,3 [empty] True
3.txt repeat4 368 False False 0,3 [empty] True
30.txt repeat0 349 True False 0,1|1,2|2,3 [empty] True
30.txt repeat1 394 False False 0,1|1,2|2,3 [empty] True
30.txt repeat2 406 False False 0,1|1,2|2,3 [empty] True
30.txt repeat3 394 False False 0,1|1,2|2,3 [empty] True
30.txt repeat4 394 False False 0,1|1,2|2,3 [empty] True
31.txt repeat0 452 True False 0,1|1,3|2,3 [empty] True
31.txt repeat1 457 True False 0,1|1,3|2,3 [empty] True
31.txt repeat2 560 True False 0,1|1,3|2,3 [empty] True
31.txt repeat3 452 True False 0,1|1,3|2,3 [empty] True
31.txt repeat4 452 True False 0,1|1,3|2,3 [empty] True
32.txt repeat0 478 True False 0,2|0,3|1,2 [empty] True
32.txt repeat1 445 True False 0,2|0,3|1,2 [empty] True
32.txt repeat2 445 True False 0,2|0,3|1,2 [empty] True
32.txt repeat3 452 True False 0,2|0,3|1,2 [empty] True
32.txt repeat4 445 True False 0,2|0,3|1,2 [empty] True
33.txt repeat0 605 True False 0,2|0,3|1,3 [empty] True
33.txt repeat1 605 True False 0,2|0,3|1,3 [empty] True
33.txt repeat2 443 True False 0,2|0,3|1,3 [empty] True
33.txt repeat3 571 True False 0,2|0,3|1,3 [empty] True
33.txt repeat4 605 True False 0,2|0,3|1,3 [empty] True
34.txt repeat0 706 True False 0,2|0,3|2,3 [empty] True
34.txt repeat1 506 True False 0,2|0,3|2,3 [empty] True
34.txt repeat2 706 True False 0,2|0,3|2,3 [empty] True
34.txt repeat3 559 True False 0,2|0,3|2,3 [empty] True
34.txt repeat4 559 True False 0,2|0,3|2,3 [empty] True
35.txt repeat0 502 True False 0,2|1,2|1,3 [empty] True
35.txt repeat1 502 True False 0,2|1,2|1,3 [empty] True
35.txt repeat2 470 True False 0,2|1,2|1,3 [empty] True
35.txt repeat3 394 True False 0,2|1,2|1,3 [empty] True
35.txt repeat4 502 True False 0,2|1,2|1,3 [empty] True
36.txt repeat0 499 True False 0,2|1,2|2,3 [empty] True
36.txt repeat1 499 True False 0,2|1,2|2,3 [empty] True
36.txt repeat2 499 True False 0,2|1,2|2,3 [empty] True
36.txt repeat3 499 True False 0,2|1,2|2,3 [empty] True
36.txt repeat4 499 True False 0,2|1,2|2,3 [empty] True
37.txt repeat0 534 True False 0,2|1,3|2,3 [empty] True
37.txt repeat1 534 True False 0,2|1,3|2,3 [empty] True
37.txt repeat2 462 True False 0,2|1,3|2,3 [empty] True
37.txt repeat3 534 True False 0,2|1,3|2,3 [empty] True
37.txt repeat4 534 True False 0,2|1,3|2,3 [empty] True
38.txt repeat0 475 True False 0,3|1,2|1,3 [empty] True
38.txt repeat1 475 True False 0,3|1,2|1,3 [empty] True
38.txt repeat2 478 True False 0,3|1,2|1,3 [empty] True
38.txt repeat3 478 True False 0,3|1,2|1,3 [empty] True
38.txt repeat4 475 True False 0,3|1,2|1,3 [empty] True
39.txt repeat0 443 True False 0,3|1,2|2,3 [empty] True
39.txt repeat1 443 True False 0,3|1,2|2,3 [empty] True
39.txt repeat2 443 True False 0,3|1,2|2,3 [empty] True
39.txt repeat3 443 True False 0,3|1,2|2,3 [empty] True
39.txt repeat4 443 True False 0,3|1,2|2,3 [empty] True
4.txt repeat0 444 False False 1,2 [empty] True
4.txt repeat1 444 False False 1,2 [empty] True
4.txt repeat2 444 False False 1,2 [empty] True
4.txt repeat3 444 False False 1,2 [empty] True
4.txt repeat4 444 False False 1,2 [empty] True
40.txt repeat0 621 False False 0,3|1,3|2,3 [empty] True
40.txt repeat1 405 False False 0,3|1,3|2,3 [empty] True
40.txt repeat2 621 False False 0,3|1,3|2,3 [empty] True
40.txt repeat3 621 False False 0,3|1,3|2,3 [empty] True
40.txt repeat4 621 False False 0,3|1,3|2,3 [empty] True
41.txt repeat0 604 True False 1,2|1,3|2,3 [empty] True
41.txt repeat1 604 True False 1,2|1,3|2,3 [empty] True
41.txt repeat2 604 True False 1,2|1,3|2,3 [empty] True
41.txt repeat3 521 True False 1,2|1,3|2,3 [empty] True
41.txt repeat4 604 True False 1,2|1,3|2,3 [empty] True
42.txt repeat0 419 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat1 419 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat2 660 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat3 660 True False 0,1|0,2|0,3|1,2 [empty] True
42.txt repeat4 660 True False 0,1|0,2|0,3|1,2 [empty] True
43.txt repeat0 490 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat1 499 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat2 499 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat3 499 True False 0,1|0,2|0,3|1,3 [empty] True
43.txt repeat4 499 True False 0,1|0,2|0,3|1,3 [empty] True
44.txt repeat0 456 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat1 448 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat2 448 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat3 448 True False 0,1|0,2|0,3|2,3 [empty] True
44.txt repeat4 456 True False 0,1|0,2|0,3|2,3 [empty] True
45.txt repeat0 499 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat1 499 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat2 499 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat3 499 True False 0,1|0,2|1,2|1,3 [empty] True
45.txt repeat4 499 True False 0,1|0,2|1,2|1,3 [empty] True
46.txt repeat0 505 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat1 505 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat2 601 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat3 505 True False 0,1|0,2|1,2|2,3 [empty] True
46.txt repeat4 590 True False 0,1|0,2|1,2|2,3 [empty] True
47.txt repeat0 480 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat1 523 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat2 492 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat3 578 True False 0,1|0,2|1,3|2,3 [empty] True
47.txt repeat4 492 True False 0,1|0,2|1,3|2,3 [empty] True
48.txt repeat0 514 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat1 618 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat2 496 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat3 582 True False 0,1|0,3|1,2|1,3 [empty] True
48.txt repeat4 514 True False 0,1|0,3|1,2|1,3 [empty] True
49.txt repeat0 447 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat1 360 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat2 362 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat3 360 True False 0,1|0,3|1,2|2,3 [empty] True
49.txt repeat4 432 True False 0,1|0,3|1,2|2,3 [empty] True
5.txt repeat0 390 False False 1,3 [empty] True
5.txt repeat1 460 False False 1,3 [empty] True
5.txt repeat2 460 False False 1,3 [empty] True
5.txt repeat3 372 False False 1,3 [empty] True
5.txt repeat4 460 False False 1,3 [empty] True
50.txt repeat0 433 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat1 654 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat2 504 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat3 433 True False 0,1|0,3|1,3|2,3 [empty] True
50.txt repeat4 504 True False 0,1|0,3|1,3|2,3 [empty] True
51.txt repeat0 516 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat1 514 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat2 514 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat3 516 True False 0,1|1,2|1,3|2,3 [empty] True
51.txt repeat4 516 True False 0,1|1,2|1,3|2,3 [empty] True
52.txt repeat0 634 True False 0,2|0,3|1,2|1,3 [empty] True
52.txt repeat1 476 True False 0,2|0,3|1,2|1,3 [empty] True
